application	P1C6	P0C3	P1C4	P0C6	P1C1	P0C5	P1C5	P0C1	P1C0	P0C4	P0C0	P1C3	P0C2	P0C7	P1C2	P1C7
x264	3.7	3.3	2.4	3	3.2	2	1.7	1.6	1	1.2	1.375	1.8	0	0	0	0
exchange2	3	4	2	2.7	3	2	1	1	1	1.8	1.1	1.7	0	0	0	0
ferret	3.5	3	2.1	2	0.2	2	0.7	1.1	1	0.9	0.1	0.2	0	0	0	0
perlbench	2.3	3	1.55	1.5	2.9	1.2	0.6	0.4	0.6	0.3	0	0	0	0	0	0
xalancbmk	3.3	0.4	2	0.8	2.1	0.2	0.6	0.5	0.2	0.2	0	0	0	0	0	0
xz	2.3	2.6	1.2	0.8	0.2	0.8	0.6	0.2	0	0.2	0.5	0	0	0	0	0
facesim	2	2.3	0.9	0.6	0.2	0.1	0.2	0.1	0	0.1	0.2	0	0.1	0	0	0
omnetpp	3.071428571	0.3	1.3	0.6	0	0.2	0.3	0.4	0.1	0.3	0.1	0.1	0	0	0	0
mcf	2.1	0	0.6	0.4	1.1	0.2	0.2	0.3333333333	1	0.1	0.1	0	0	0	0	0
dedup	1.5	0.8	0.5	0.3	0.2	0.3	0.8	0.3	0.2	0.2	0.1	0	0	0	0	0
gcc	1.083333333	0.1	0.5714285714	0.5	0.2	0.1	1	0.4	0.4	0.2	0.0666666667	0	0	0	0	0
bodytrack	1	1.9	0.5	0.1	0	0	0	0	0	0	0	0	0	0	0	0
deepsjeng	0.5	0.3	0.2	1	0.1	0.4	0.3	0.3	0	0.2	0.1	0	0	0	0	0
leela	1.6	0.1	0.1	0.2	0.1	0.1	0.3	0.2	0	0	0.1111111111	0	0	0	0	0
freqmine	0.3	0	0.5	0	0.2	0	0.1	0.1	0.2	0	1.1	0	0	0	0	0
barnes	1.2	0.1	0.4	0.2	0.1	0.1	0	0.1	0.1	0	0	0	0	0	0	0
streamcluster	0.7	0.4	0.1	0.2	0.1	0	0.2	0	0	0	0	0	0	0	0	0
fluidanimate	0.4	0.1	0.3	0.4	0	0.1	0.1	0	0.1	0	0.1	0	0	0	0	0
fft	0.1	0	0.1	0.2	0.1	0.1	0	0	0.1	0	0	0	0	0	0	0
blackscholes	0.2	0	0	0.1	0	0.1	0.1	0	0	0	0	0	0	0	0	0
